Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
1034,"Oct 22, 2024","Oct 26, 2024","Oct 28, 2024",Current,122 Street Ramp Closure,Whitemud Drive NW,122 Street NW,,Total Closure,2 Nights,122 St on ramp from Whitemud Dr Westound will be closed nightly from 10pm to 6am on Oct 26th to Oct 27th. Detour using 111 St or Terwillegar Dr.,Drainage Repair Replace,Construction,Southwest,Road,POINT (-113.541167483624 53.483071866876)
1043,"Oct 23, 2024","Oct 23, 2024","Nov 15, 2024",Current,Left turn lane closed,111 Street,25 Avenue,23 Avenue,Increased Travel Time,24 Days,111 Street southbound to eastbound left turn bay is reduced from double left turn to single left turn.,Utility work,Construction,Central,Road,POINT (-113.516365337055 53.455877246932)
494,"Jun 11, 2024","Jun 20, 2024","Nov 15, 2024",Revised,"Total Closure of Hwy 2 Serv Road, 124 St - 100 Ave",Highway 2 Service Road,124 Street SW,100 Avenue SW,Total Closure,Long Duration,"From June 20th - November 15th, the Highway 2 Service Road from 124 St SW to 100 Avenue SW will be closed.",Water Line Install,Construction,Southwest,Road,POINT (-113.537054288125 53.359423827399)
1053,"Oct 25, 2024","Nov 04, 2024","Dec 31, 2024",Current,Stony Plain Rd Reduced to 1 Lane EB,Stony Plain Road,218 Street NW,213 Street NW,Travel Delays,2 Months,Stony Plain Rd will be reduced to 1 lane EB. Use other routes.,Overpass Maintenance,Construction,Northwest,Road,POINT (-113.685658708607 53.54081511742)
1053,"Oct 25, 2024","Nov 04, 2024","Dec 31, 2024",Current,Stony Plain Rd Reduced to 1 Lane EB,Stony Plain Road,218 Street NW,213 Street NW,Travel Delays,2 Months,Stony Plain Rd will be reduced to 1 lane EB. Use other routes.,Overpass Maintenance,Construction,Northwest,Road,POINT (-113.694435515948 53.54158795844)
494,"Jun 11, 2024","Jun 20, 2024","Nov 15, 2024",Revised,"Total Closure of Hwy 2 Serv Road, 124 St - 100 Ave",Highway 2 Service Road,124 Street SW,100 Avenue SW,Total Closure,Long Duration,"From June 20th - November 15th, the Highway 2 Service Road from 124 St SW to 100 Avenue SW will be closed.",Water Line Install,Construction,Southwest,Road,POINT (-113.548593714492 53.343949271548)
973,"Oct 03, 2024","Oct 09, 2024","Oct 30, 2024",Current,34 Avenue Delays,34 Avenue NW,50 Street NW,58 Street NW,Travel Delays,3 Weeks,34 Av will be reduced to a single lane in each direction between 50 - 58 street,Water Main Inspection,Construction,Southeast,Road,POINT (-113.42770616151 53.465394501145)
1030,"Oct 21, 2024","Oct 26, 2024","Oct 26, 2024",Current,156 St Ramp to Yellowhead Tr WB Closure,156 Street NW,Yellowhead Trail NW,,Total Closure,6 Hours (6 am - 12 pm),"Total closure of the 156 St to Yellowhead Trail WB On-Ramp Sat, Oct 26th from 6am - 12pm.",YHT Freeway Conversion,Construction,Northwest,Road,POINT (-113.590876847219 53.579033097072)
1039,"Oct 23, 2024","Oct 25, 2024","Oct 27, 2024",Current,Sask.DR & QEPR Intersection Closure,Saskatchewan Drive NW,Gateway Boulevard NW,101 Street NW,Total Closure,Three Days,"Sask.DR & Queen Elizabeth Park RD eastbound closed to vehicle traffic Oct.25 09:00-19:00hrs, Oct.26 @ 07:00hrs - Oct.27 @ 08:00hrs. Westbound closed to vehicle traffic Oct.25 @ 09:00-15:30hrs, Oct.26 @ 07:00 - Oct.27 @ 08:00hrs. Detour using other routes.",Curb ramp installs,Construction,Central,Road,POINT (-113.491238642417 53.524833841769)
1039,"Oct 23, 2024","Oct 25, 2024","Oct 27, 2024",Current,Sask.DR & QEPR Intersection Closure,Saskatchewan Drive NW,Gateway Boulevard NW,101 Street NW,Total Closure,Three Days,"Sask.DR & Queen Elizabeth Park RD eastbound closed to vehicle traffic Oct.25 09:00-19:00hrs, Oct.26 @ 07:00hrs - Oct.27 @ 08:00hrs. Westbound closed to vehicle traffic Oct.25 @ 09:00-15:30hrs, Oct.26 @ 07:00 - Oct.27 @ 08:00hrs. Detour using other routes.",Curb ramp installs,Construction,Central,Road,POINT (-113.495968762722 53.523653152905)
